username,password,userType,phone
admin,2023311A11,admin,12332112345
ÈğĞÒ,Luckin,merchant,12332112346
ÃÛÑ©±ù³Ç,mxbc,merchant,12332112347
¹ÅÜø,goodme,merchant,12332112348
ÄÎÑ©µÄ²è,naixue,merchant,12332112349
²è°ÙµÀ,ChaPanda,merchant,12332112350
ĞÇ°Í¿Ë,Starbucks,merchant,12332112351
Ï²²è,HEYTEA,merchant,12332112352
ÕÅÈı,zhangsan,student,12332112353
ÀîËÄ,lisi,student,12332112354
ÍõÎå,wangwu,student,12332112355
ÕÔÁù,zhaoliu,student,12332112356
Ç®Æß,qianqi,student,12332112357
Ëï°Ë,sunba,student,12332112358
ÖÜ¾Å,zhoujiu,student,12332112359
ÎâÊ®,wushi,student,12332112360
stu_1,stu_1,student,12332112361
stu_2,stu_2,student,12332112362
stu_3,stu_3,student,12332112363
stu_4,stu_4,student,12332112364
stu_5,stu_5,student,12332112365
stu_6,stu_6,student,12332112366
stu_7,stu_7,student,12332112367
stu_8,stu_8,student,12332112368
stu_9,stu_9,student,12332112369
stu_10,stu_10,student,12332112370
stu_11,stu_11,student,12332112371
stu_12,stu_12,student,12332112372
stu_13,stu_13,student,12332112373
stu_14,stu_14,student,12332112374
stu_15,stu_15,student,12332112375
stu_16,stu_16,student,12332112376
stu_17,stu_17,student,12332112377
stu_18,stu_18,student,12332112378
stu_19,stu_19,student,12332112379
stu_20,stu_20,student,12332112380
stu_21,stu_21,student,12332112381
stu_22,stu_22,student,12332112382
stu_23,stu_23,student,12332112383
stu_24,stu_24,student,12332112384
stu_25,stu_25,student,12332112385
stu_26,stu_26,student,12332112386
stu_27,stu_27,student,12332112387
stu_28,stu_28,student,12332112388
stu_29,stu_29,student,12332112389
stu_30,stu_30,student,12332112390
stu_31,stu_31,student,12332112391
stu_32,stu_32,student,12332112392
stu_33,stu_33,student,12332112393
stu_34,stu_34,student,12332112394
stu_35,stu_35,student,12332112395
stu_36,stu_36,student,12332112396
stu_37,stu_37,student,12332112397
stu_38,stu_38,student,12332112398
stu_39,stu_39,student,12332112399
stu_40,stu_40,student,12332112400
stu_41,stu_41,student,12332112401
stu_42,stu_42,student,12332112402
stu_43,stu_43,student,12332112403
stu_44,stu_44,student,12332112404
stu_45,stu_45,student,12332112405
stu_46,stu_46,student,12332112406
stu_47,stu_47,student,12332112407
stu_48,stu_48,student,12332112408
stu_49,stu_49,student,12332112409
stu_50,stu_50,student,12332112410
»¦ÉÏ°¢ÒÌ,ANTEAENNLY,merchant,10001111223
